Lookback (days),RSIs,symbol,AR (%),sharpe_ratio,MD ,calmer_ratio
9,72,IOO,20.31%,1.1,18.03%,1.1
10,72,IOO,19.14%,1.1,13.35%,1.4
8,73,IOO,18.66%,1.0,14.91%,1.3
12,71,IOO,18.55%,1.1,11.77%,1.6
11,71,IOO,18.25%,1.1,13.35%,1.4
13,70,IOO,17.84%,1.1,12.89%,1.4
12,70,IOO,17.75%,1.1,12.91%,1.4
9,73,IOO,17.42%,1.0,11.81%,1.5
15,70,IOO,17.36%,1.1,9.43%,1.8
10,71,IOO,17.35%,1.0,17.45%,1.0
8,74,IOO,17.15%,1.0,15.89%,1.1
14,70,IOO,16.76%,1.1,10.05%,1.7
7,76,IOO,16.55%,1.0,14.98%,1.1
7,74,IOO,16.38%,0.9,18.05%,0.9
8,72,IOO,16.23%,0.9,18.50%,0.9
11,69,USCI,16.22%,0.7,26.71%,0.6
9,71,IOO,16.18%,0.9,17.87%,0.9
15,69,IOO,16.12%,1.0,14.81%,1.1
4,85,IOO,15.88%,0.9,13.24%,1.2
9,74,IOO,15.84%,1.1,16.00%,1.0
6,74,IOO,15.83%,0.8,30.84%,0.5
11,68,USCI,15.76%,0.7,26.71%,0.6
11,72,IOO,15.76%,1.1,15.06%,1.0
10,73,IOO,15.73%,1.1,15.06%,1.0
13,69,IOO,15.68%,0.9,18.62%,0.8
6,78,IOO,15.58%,0.9,14.08%,1.1
5,77,IOO,15.55%,0.8,24.88%,0.6
14,69,IOO,15.48%,1.0,18.62%,0.8
7,75,IOO,15.46%,0.9,20.30%,0.8
14,71,SPHD,15.17%,0.8,25.23%,0.6
8,75,IOO,15.15%,1.0,16.28%,0.9
10,69,USCI,15.13%,0.7,26.96%,0.6
11,70,IOO,15.08%,0.9,18.36%,0.8
6,75,IOO,15.02%,0.8,23.62%,0.6
10,70,IOO,15.02%,0.8,20.53%,0.7
14,68,IOO,14.92%,0.9,18.62%,0.8
7,72,IOO,14.84%,0.8,32.50%,0.5
15,71,SPHD,14.83%,0.8,26.92%,0.6
5,73,SPLV,14.81%,0.6,48.89%,0.3
4,86,IOO,14.81%,0.9,13.35%,1.1
6,76,IOO,14.80%,0.8,17.89%,0.8
12,67,USCI,14.79%,0.7,29.16%,0.5
10,75,PHDG,14.78%,1.0,11.03%,1.3
11,73,IOO,14.78%,1.0,13.54%,1.1
9,67,USCI,14.64%,0.6,28.78%,0.5
12,69,IOO,14.62%,0.9,21.40%,0.7
13,71,IOO,14.58%,1.0,13.24%,1.1
5,80,IOO,14.54%,0.9,14.45%,1.0
4,84,IOO,14.51%,0.9,14.65%,1.0
7,73,IOO,14.50%,0.8,25.94%,0.6
10,68,USCI,14.38%,0.7,29.19%,0.5
6,80,IOO,14.27%,0.9,13.55%,1.1
8,72,SPLV,14.17%,0.7,31.75%,0.4
5,81,IOO,14.15%,0.9,13.14%,1.1
11,67,USCI,14.11%,0.6,31.51%,0.4
6,77,IOO,14.10%,0.8,24.61%,0.6
15,68,IOO,14.06%,0.9,19.65%,0.7
13,73,SPHD,14.02%,0.8,16.37%,0.9
15,72,SPHD,14.02%,0.8,15.21%,0.9
11,74,PHDG,14.00%,0.9,11.03%,1.3
12,72,IOO,13.99%,1.0,13.24%,1.1
9,71,FXE,13.98%,0.7,21.24%,0.7
11,69,IOO,13.97%,0.8,24.85%,0.6
6,79,IOO,13.95%,0.9,14.57%,1.0
14,72,SPHD,13.91%,0.8,26.11%,0.5
12,66,USCI,13.88%,0.6,29.05%,0.5
5,79,IOO,13.88%,0.8,25.39%,0.5
10,70,FXE,13.87%,0.7,21.24%,0.7
7,71,IOO,13.85%,0.7,26.33%,0.5
8,68,USCI,13.84%,0.6,28.78%,0.5
8,70,IOO,13.82%,0.7,21.98%,0.6
12,73,SPHD,13.81%,0.7,27.02%,0.5
13,74,SPHD,13.81%,0.8,14.56%,0.9
12,74,SPHD,13.80%,0.8,19.83%,0.7
5,82,IOO,13.80%,0.9,15.69%,0.9
7,77,IOO,13.78%,0.9,17.65%,0.8
13,72,SPHD,13.78%,0.7,27.55%,0.5
10,73,FDL,13.77%,0.8,20.14%,0.7
6,73,IOO,13.72%,0.7,36.16%,0.4
15,70,SPHD,13.63%,0.7,30.18%,0.5
9,70,DTH,13.62%,0.7,32.56%,0.4
14,71,IOO,13.60%,1.0,9.03%,1.5
9,82,TQQQ,13.59%,1.0,9.63%,1.4
12,68,USCI,13.59%,0.7,26.71%,0.5
8,67,USCI,13.58%,0.6,29.63%,0.5
10,74,FDL,13.58%,0.9,23.93%,0.6
9,74,SPHD,13.57%,0.7,26.94%,0.5
5,78,IOO,13.53%,0.7,26.40%,0.5
14,67,IOO,13.47%,0.8,19.71%,0.7
9,75,IOO,13.46%,1.0,19.05%,0.7
9,77,PHDG,13.44%,1.0,11.03%,1.2
11,68,SPLV,13.41%,0.6,32.19%,0.4
10,74,IOO,13.40%,1.0,17.38%,0.8
14,73,SPHD,13.40%,0.8,15.71%,0.9
12,77,TQQQ,13.39%,1.0,11.19%,1.2
9,68,USCI,13.32%,0.6,32.09%,0.4
12,79,TQQQ,13.30%,1.0,5.12%,2.6
11,74,SPHD,13.29%,0.7,25.50%,0.5
12,72,SPHD,13.28%,0.7,25.42%,0.5
10,81,TQQQ,13.28%,1.0,6.68%,2.0
5,76,IOO,13.25%,0.7,25.90%,0.5
10,79,TQQQ,13.25%,1.0,11.19%,1.2
3,90,IOO,13.23%,0.9,12.97%,1.0
13,66,USCI,13.23%,0.6,28.31%,0.5
11,78,TQQQ,13.21%,1.0,11.19%,1.2
13,72,IOO,13.17%,1.0,9.43%,1.4
9,80,TQQQ,13.16%,1.0,13.04%,1.0
13,68,IOO,13.13%,0.8,19.04%,0.7
9,70,USCI,13.12%,0.6,29.19%,0.4
7,66,SPLV,13.11%,0.5,50.40%,0.3
12,73,IOO,13.10%,1.0,9.43%,1.4
11,77,TQQQ,13.08%,1.0,11.72%,1.1
8,71,IOO,13.08%,0.7,22.88%,0.6
13,67,USCI,13.03%,0.7,28.88%,0.5
4,83,IOO,13.03%,0.8,18.07%,0.7
5,84,SPTI,13.01%,0.6,26.14%,0.5
3,89,IOO,12.93%,0.8,17.83%,0.7
9,75,FDL,12.91%,0.8,24.39%,0.5
9,81,TQQQ,12.89%,1.0,9.63%,1.3
10,73,SPHD,12.89%,0.7,26.52%,0.5
15,67,IOO,12.88%,0.8,19.71%,0.7
11,80,TQQQ,12.87%,1.0,6.68%,1.9
8,66,SPLV,12.86%,0.5,51.00%,0.3
7,85,TQQQ,12.84%,1.0,9.63%,1.3
13,76,TQQQ,12.83%,1.0,13.43%,1.0
12,73,PHDG,12.82%,0.9,12.83%,1.0
7,68,USCI,12.81%,0.6,32.97%,0.4
10,80,TQQQ,12.80%,1.0,9.63%,1.3
8,83,TQQQ,12.80%,1.0,9.63%,1.3
5,83,IOO,12.78%,0.8,13.14%,1.0
14,76,TQQQ,12.77%,1.0,11.19%,1.1
8,69,USCI,12.75%,0.6,26.86%,0.5
10,78,TQQQ,12.73%,0.9,11.72%,1.1
4,82,IOO,12.71%,0.7,20.83%,0.6
7,77,SPHD,12.70%,0.7,24.11%,0.5
11,73,SPHD,12.68%,0.7,25.96%,0.5
7,67,SPLV,12.66%,0.5,46.17%,0.3
5,74,SPLV,12.66%,0.6,39.70%,0.3
6,71,SPLV,12.65%,0.5,46.83%,0.3
10,67,USCI,12.65%,0.6,31.13%,0.4
11,66,USCI,12.65%,0.6,31.75%,0.4
11,79,TQQQ,12.63%,1.0,9.60%,1.3
10,66,USCI,12.63%,0.6,31.21%,0.4
6,81,SPTI,12.61%,0.6,27.12%,0.5
15,75,TQQQ,12.59%,0.9,18.67%,0.7
10,76,SPHD,12.59%,0.7,22.72%,0.6
8,76,IOO,12.59%,0.9,19.94%,0.6
6,78,SPHD,12.58%,0.6,25.75%,0.5
15,71,FDL,12.57%,0.9,25.52%,0.5
11,74,IOO,12.55%,0.9,9.43%,1.3
14,71,FDL,12.55%,0.9,22.68%,0.6
15,67,USCI,12.54%,0.7,28.47%,0.4
9,70,IOO,12.52%,0.7,22.67%,0.6
13,77,TQQQ,12.52%,1.0,11.19%,1.1
11,75,SPHD,12.51%,0.7,20.91%,0.6
8,84,TQQQ,12.50%,1.0,6.68%,1.9
5,72,SPLV,12.50%,0.5,47.32%,0.3
11,72,FDL,12.50%,0.8,25.34%,0.5
15,69,SPLV,12.48%,0.7,30.90%,0.4
7,78,IOO,12.47%,0.9,17.20%,0.7
10,69,DTH,12.47%,0.6,33.37%,0.4
15,70,PHDG,12.47%,0.7,22.41%,0.6
8,82,TQQQ,12.42%,0.9,13.04%,1.0
8,76,SPHD,12.41%,0.6,25.67%,0.5
15,66,IOO,12.41%,0.7,24.65%,0.5
12,73,FDL,12.39%,0.9,26.69%,0.5
5,84,IOO,12.39%,0.8,13.30%,0.9
14,68,SPLV,12.39%,0.6,28.72%,0.4
13,68,FXE,12.38%,0.6,21.61%,0.6
13,73,PHDG,12.38%,0.9,9.82%,1.3
8,75,SPHD,12.38%,0.6,24.17%,0.5
9,79,TQQQ,12.37%,0.9,13.04%,0.9
15,65,SPLV,12.35%,0.5,47.40%,0.3
12,78,TQQQ,12.35%,0.9,11.19%,1.1
7,69,USCI,12.35%,0.6,30.38%,0.4
10,72,SPLV,12.33%,0.7,25.22%,0.5
12,73,RSPT,12.31%,1.1,11.88%,1.0
9,74,FDL,12.24%,0.8,20.14%,0.6
6,70,SPLV,12.23%,0.5,49.82%,0.2
8,74,SPHD,12.20%,0.6,30.66%,0.4
8,67,SPLV,12.19%,0.5,42.99%,0.3
9,68,SPLV,12.17%,0.5,35.34%,0.3
12,68,FXE,12.14%,0.6,21.61%,0.6
