Symbol,Days,RSI,AR,MD ,Calmar
IOO,9,72,20.31%,18.03%,1.1
IOO,10,72,19.14%,13.35%,1.4
IOO,8,73,18.66%,14.91%,1.3
IOO,12,71,18.55%,11.77%,1.6
IOO,11,71,18.25%,13.35%,1.4
IOO,13,70,17.84%,12.89%,1.4
IOO,12,70,17.75%,12.91%,1.4
IOO,9,73,17.42%,11.81%,1.5
IOO,15,70,17.36%,9.43%,1.8
IOO,10,71,17.35%,17.45%,1
IOO,8,74,17.15%,15.89%,1.1
IOO,14,70,16.76%,10.05%,1.7
IOO,7,76,16.55%,14.98%,1.1
IOO,7,74,16.38%,18.05%,0.9
IOO,8,72,16.23%,18.50%,0.9
USCI,11,69,16.22%,26.71%,0.6
IOO,9,71,16.18%,17.87%,0.9
IOO,15,69,16.12%,14.81%,1.1
IOO,4,85,15.88%,13.24%,1.2
IOO,9,74,15.84%,16.00%,1
IOO,6,74,15.83%,30.84%,0.5
USCI,11,68,15.76%,26.71%,0.6
IOO,11,72,15.76%,15.06%,1
IOO,10,73,15.73%,15.06%,1
IOO,13,69,15.68%,18.62%,0.8
IOO,6,78,15.58%,14.08%,1.1
IOO,5,77,15.55%,24.88%,0.6
IOO,14,69,15.48%,18.62%,0.8
IOO,7,75,15.46%,20.30%,0.8
SPHD,14,71,15.17%,25.23%,0.6
IOO,8,75,15.15%,16.28%,0.9
USCI,10,69,15.13%,26.96%,0.6
IOO,11,70,15.08%,18.36%,0.8
IOO,6,75,15.02%,23.62%,0.6
IOO,10,70,15.02%,20.53%,0.7
IOO,14,68,14.92%,18.62%,0.8
IOO,7,72,14.84%,32.50%,0.5
SPHD,15,71,14.83%,26.92%,0.6
SPLV,5,73,14.81%,48.89%,0.3
IOO,4,86,14.81%,13.35%,1.1
IOO,6,76,14.80%,17.89%,0.8
USCI,12,67,14.79%,29.16%,0.5
PHDG,10,75,14.78%,11.03%,1.3
IOO,11,73,14.78%,13.54%,1.1
USCI,9,67,14.64%,28.78%,0.5
IOO,12,69,14.62%,21.40%,0.7
IOO,13,71,14.58%,13.24%,1.1
IOO,5,80,14.54%,14.45%,1
IOO,4,84,14.51%,14.65%,1
IOO,7,73,14.50%,25.94%,0.6
USCI,10,68,14.38%,29.19%,0.5
IOO,6,80,14.27%,13.55%,1.1
SPLV,8,72,14.17%,31.75%,0.4
IOO,5,81,14.15%,13.14%,1.1
USCI,11,67,14.11%,31.51%,0.4
IOO,6,77,14.10%,24.61%,0.6
IOO,15,68,14.06%,19.65%,0.7
SPHD,13,73,14.02%,16.37%,0.9
SPHD,15,72,14.02%,15.21%,0.9
PHDG,11,74,14.00%,11.03%,1.3
IOO,12,72,13.99%,13.24%,1.1
FXE,9,71,13.98%,21.24%,0.7
IOO,11,69,13.97%,24.85%,0.6
IOO,6,79,13.95%,14.57%,1
SPHD,14,72,13.91%,26.11%,0.5
USCI,12,66,13.88%,29.05%,0.5
IOO,5,79,13.88%,25.39%,0.5
FXE,10,70,13.87%,21.24%,0.7
IOO,7,71,13.85%,26.33%,0.5
USCI,8,68,13.84%,28.78%,0.5
IOO,8,70,13.82%,21.98%,0.6
SPHD,12,73,13.81%,27.02%,0.5
SPHD,13,74,13.81%,14.56%,0.9
SPHD,12,74,13.80%,19.83%,0.7
IOO,5,82,13.80%,15.69%,0.9
IOO,7,77,13.78%,17.65%,0.8
SPHD,13,72,13.78%,27.55%,0.5
FDL,10,73,13.77%,20.14%,0.7
IOO,6,73,13.72%,36.16%,0.4
SPHD,15,70,13.63%,30.18%,0.5
DTH,9,70,13.62%,32.56%,0.4
IOO,14,71,13.60%,9.03%,1.5
TQQQ,9,82,13.59%,9.63%,1.4
USCI,12,68,13.59%,26.71%,0.5
USCI,8,67,13.58%,29.63%,0.5
FDL,10,74,13.58%,23.93%,0.6
SPHD,9,74,13.57%,26.94%,0.5
IOO,5,78,13.53%,26.40%,0.5
IOO,14,67,13.47%,19.71%,0.7
IOO,9,75,13.46%,19.05%,0.7
PHDG,9,77,13.44%,11.03%,1.2
SPLV,11,68,13.41%,32.19%,0.4
IOO,10,74,13.40%,17.38%,0.8
SPHD,14,73,13.40%,15.71%,0.9
TQQQ,12,77,13.39%,11.19%,1.2
USCI,9,68,13.32%,32.09%,0.4
TQQQ,12,79,13.30%,5.12%,2.6
SPHD,11,74,13.29%,25.50%,0.5
SPHD,12,72,13.28%,25.42%,0.5
TQQQ,10,81,13.28%,6.68%,2
