Days,RSI,Symbol,AR,MD,Source
15,65,AIVI,5.11187299,32.35045611,Does this work? 
15,66,AIVI,6.478194279,27.17222922,Does this work? 
15,67,AIVI,6.971364308,18.70691646,Does this work? 
15,68,AIVI,7.117774315,20.95010719,Does this work? 
15,69,AIVI,7.096472052,15.51064837,Does this work? 
15,70,AIVI,7.321855468,11.53860261,Does this work? 
15,71,AIVI,7.489189389,11.37980388,Does this work? 
15,72,AIVI,5.119086973,9.438015062,Does this work? 
15,73,AIVI,2.419890178,7.28801049,Does this work? 
15,74,AIVI,2.979411371,7.288047233,Does this work? 
15,75,AIVI,3.257751278,4.261828866,Does this work? 
15,76,AIVI,2.570138649,4.261828866,Does this work? 
15,77,AIVI,2.073597941,4.295855793,Does this work? 
15,78,AIVI,2.166705885,2.328684262,Does this work? 
15,79,AIVI,1.786448744,4.166446602,Does this work? 
15,80,AIVI,1.95475482,1.855319369,Does this work? 
15,81,AIVI,1.3052125,0.431938208,Does this work? 
15,82,AIVI,1.216697318,0.431938208,Does this work? 
15,83,AIVI,1.216697318,0.431938208,Does this work? 
15,84,AIVI,1.216697318,0.431938208,Does this work? 
15,85,AIVI,1.216697318,0.431938208,Does this work? 
15,86,AIVI,1.216697318,0.431938208,Does this work? 
15,87,AIVI,1.216697318,0.431938208,Does this work? 
15,88,AIVI,1.216697318,0.431938208,Does this work? 
15,89,AIVI,1.216697318,0.431938208,Does this work? 
15,90,AIVI,1.216697318,0.431938208,Does this work? 
15,91,AIVI,1.216697318,0.431938208,Does this work? 
15,92,AIVI,1.216697318,0.431938208,Does this work? 
15,93,AIVI,1.216697318,0.431938208,Does this work? 
15,94,AIVI,1.216697318,0.431938208,Does this work? 
15,95,AIVI,1.216697318,0.431938208,Does this work? 
14,65,AIVI,6.073955459,39.90511762,Does this work? 
14,66,AIVI,6.358890091,26.55211369,Does this work? 
14,67,AIVI,8.641262576,25.83428589,Does this work? 
14,68,AIVI,5.891580707,20.05901629,Does this work? 
14,69,AIVI,7.774858322,20.95009916,Does this work? 
14,70,AIVI,7.551394254,13.40342984,Does this work? 
14,71,AIVI,6.394049613,11.37985142,Does this work? 
14,72,AIVI,6.917610459,11.31877876,Does this work? 
14,73,AIVI,5.699392893,9.438028462,Does this work? 
14,74,AIVI,2.505776225,7.288046756,Does this work? 
14,75,AIVI,3.357033804,4.26195016,Does this work? 
14,76,AIVI,3.327790409,4.261860211,Does this work? 
14,77,AIVI,2.570975102,4.261860211,Does this work? 
14,78,AIVI,2.198088583,4.295804825,Does this work? 
14,79,AIVI,2.167646701,2.328656665,Does this work? 
14,80,AIVI,1.787493459,4.166434196,Does this work? 
14,81,AIVI,1.193336338,1.855213448,Does this work? 
14,82,AIVI,1.306382176,0.431944048,Does this work? 
14,83,AIVI,1.217892043,0.431944048,Does this work? 
14,84,AIVI,1.217892043,0.431944048,Does this work? 
14,85,AIVI,1.217892043,0.431944048,Does this work? 
14,86,AIVI,1.217892043,0.431944048,Does this work? 
14,87,AIVI,1.217892043,0.431944048,Does this work? 
14,88,AIVI,1.217892043,0.431944048,Does this work? 
14,89,AIVI,1.217892043,0.431944048,Does this work? 
14,90,AIVI,1.217892043,0.431944048,Does this work? 
14,91,AIVI,1.217892043,0.431944048,Does this work? 
14,92,AIVI,1.217892043,0.431944048,Does this work? 
14,93,AIVI,1.217892043,0.431944048,Does this work? 
14,94,AIVI,1.217892043,0.431944048,Does this work? 
14,95,AIVI,1.217892043,0.431944048,Does this work? 
13,65,AIVI,3.667245043,52.87842472,Does this work? 
13,66,AIVI,3.772251367,33.44930173,Does this work? 
13,67,AIVI,5.917358534,24.39741324,Does this work? 
13,68,AIVI,8.153674545,24.14402909,Does this work? 
13,69,AIVI,4.830941158,20.95012839,Does this work? 
13,70,AIVI,7.775502663,21.03856485,Does this work? 
13,71,AIVI,7.691324086,10.34484435,Does this work? 
13,72,AIVI,6.946834526,11.37984172,Does this work? 
13,73,AIVI,7.107293138,11.3187908,Does this work? 
13,74,AIVI,5.078149655,9.437975114,Does this work? 
13,75,AIVI,2.759535154,7.288052691,Does this work? 
13,76,AIVI,3.356095721,4.261858012,Does this work? 
13,77,AIVI,2.617084826,4.261860211,Does this work? 
13,78,AIVI,2.567742065,4.295741027,Does this work? 
13,79,AIVI,2.338508122,2.328562458,Does this work? 
13,80,AIVI,2.167044456,2.328562458,Does this work? 
13,81,AIVI,1.48561054,1.855313078,Does this work? 
13,82,AIVI,1.18642952,1.823032902,Does this work? 
13,83,AIVI,1.098065098,1.690823663,Does this work? 
13,84,AIVI,1.217555244,0.431944048,Does this work? 
13,85,AIVI,1.217555244,0.431944048,Does this work? 
13,86,AIVI,1.217555244,0.431944048,Does this work? 
13,87,AIVI,1.217555244,0.431944048,Does this work? 
13,88,AIVI,1.217555244,0.431944048,Does this work? 
13,89,AIVI,1.217555244,0.431944048,Does this work? 
13,90,AIVI,1.217555244,0.431944048,Does this work? 
13,91,AIVI,1.217555244,0.431944048,Does this work? 
13,92,AIVI,1.217555244,0.431944048,Does this work? 
13,93,AIVI,1.217555244,0.431944048,Does this work? 
13,94,AIVI,1.217555244,0.431944048,Does this work? 
13,95,AIVI,1.217555244,0.431944048,Does this work? 
12,65,AIVI,5.907768306,42.34726078,Does this work? 
12,66,AIVI,4.790716635,46.70556188,Does this work? 
12,67,AIVI,3.684431326,35.66811917,Does this work? 
12,68,AIVI,8.811412965,21.58420357,Does this work? 
12,69,AIVI,4.950573454,24.05687441,Does this work? 
12,70,AIVI,6.371071677,20.95009253,Does this work? 
12,71,AIVI,6.705208032,17.34364242,Does this work? 
12,72,AIVI,6.80532418,12.00349449,Does this work? 
12,73,AIVI,6.293377833,11.37984762,Does this work? 
12,74,AIVI,5.187131384,11.31880099,Does this work? 
12,75,AIVI,5.527362733,9.438003604,Does this work? 
12,76,AIVI,3.100389094,7.288028726,Does this work? 
12,77,AIVI,3.353429198,4.261828866,Does this work? 
12,78,AIVI,2.614804773,4.261828866,Does this work? 
12,79,AIVI,2.198604587,4.295717087,Does this work? 
12,80,AIVI,2.336309693,2.328684262,Does this work? 
12,81,AIVI,1.740375805,4.592095611,Does this work? 
12,82,AIVI,1.487073507,1.796921016,Does this work? 
12,83,AIVI,1.184570702,1.823131801,Does this work? 
12,84,AIVI,1.096230702,1.690893708,Does this work? 
12,85,AIVI,1.215688198,0.431938208,Does this work? 
12,86,AIVI,1.215688198,0.431938208,Does this work? 
12,87,AIVI,1.215688198,0.431938208,Does this work? 
12,88,AIVI,1.215688198,0.431938208,Does this work? 
12,89,AIVI,1.215688198,0.431938208,Does this work? 
