Symbol,RSI,Days,AR,MD
VCR,60,5,-42.19428823,99.98143319
VCR,60,6,-38.12456232,99.92360738
VCR,60,7,-34.9703417,99.85617981
VCR,60,8,-30.10763956,99.67955267
VCR,60,9,-24.70348125,99.13036197
VCR,60,10,-21.62596586,98.58064702
VCR,60,11,-23.55481446,99.10819027
VCR,60,12,-21.33822926,98.82662544
VCR,60,13,-17.01218324,97.88201274
VCR,60,14,-18.26722762,98.26126479
VCR,60,15,-17.8765003,98.09733342
VCR,60,16,-17.05269069,97.75437227
VCR,60,17,-10.97027647,96.84326347
VCR,60,18,-9.985252882,96.32521175
VCR,60,19,-13.2411322,95.90596024
VCR,60,20,-10.88365234,95.67658743
VCR,61,5,-37.35913933,99.94419282
VCR,61,6,-33.5993484,99.77882912
VCR,61,7,-34.57187943,99.79239671
VCR,61,8,-25.53233922,99.08617318
VCR,61,9,-23.67719477,98.92554789
VCR,61,10,-22.76711147,98.79450856
VCR,61,11,-21.40462383,98.5735075
VCR,61,12,-20.50391028,97.81679121
VCR,61,13,-16.85061995,97.96440087
VCR,61,14,-17.98768057,98.49281023
VCR,61,15,-13.36676783,97.24569191
VCR,61,16,-10.6575473,95.70790373
VCR,61,17,-8.048826488,95.12106809
VCR,61,18,-6.392764224,94.23065881
VCR,61,19,-6.349730526,93.95668127
VCR,61,20,-5.516281448,94.72924399
VCR,62,5,-34.00286803,99.85270394
VCR,62,6,-35.34806031,99.80701185
VCR,62,7,-30.59967665,99.48342763
VCR,62,8,-22.41021519,98.32591041
VCR,62,9,-23.57396305,98.95921655
VCR,62,10,-22.52830709,98.93547489
VCR,62,11,-21.41881537,98.47750674
VCR,62,12,-18.00220371,98.39675017
VCR,62,13,-16.89641887,97.8751002
VCR,62,14,-10.67285918,96.70638988
VCR,62,15,-9.691105485,96.31374977
VCR,62,16,-11.27829809,96.58102791
VCR,62,17,-5.933849788,95.03141983
VCR,62,18,-5.091351468,94.6797123
VCR,62,19,-3.247251051,93.21667433
VCR,62,20,-1.864706546,92.44983798
VCR,63,5,-33.49273168,99.80341937
VCR,63,6,-28.06757172,99.24955324
VCR,63,7,-27.67119277,99.09658126
VCR,63,8,-26.14974019,99.06580117
VCR,63,9,-26.31799344,99.29016477
VCR,63,10,-23.22956263,98.94608915
VCR,63,11,-19.04550131,98.54770405
VCR,63,12,-15.79276484,98.06477054
VCR,63,13,-10.97242765,96.40352849
