Lookback,RSI,Ticker,CAGR,Drawdown
9,82,TQQQ,13.59%,9.63%
12,77,TQQQ,13.39%,11.19%
12,79,TQQQ,13.30%,5.12%
10,81,TQQQ,13.28%,6.68%
10,79,TQQQ,13.25%,11.19%
11,78,TQQQ,13.21%,11.19%
9,80,TQQQ,13.16%,13.04%
11,77,TQQQ,13.08%,11.72%
9,81,TQQQ,12.89%,9.63%
11,80,TQQQ,12.87%,6.68%
7,85,TQQQ,12.84%,9.63%
13,76,TQQQ,12.83%,13.43%
10,80,TQQQ,12.80%,9.63%
8,83,TQQQ,12.80%,9.63%
14,76,TQQQ,12.77%,11.19%
10,78,TQQQ,12.73%,11.72%
11,79,TQQQ,12.63%,9.60%
15,75,TQQQ,12.59%,18.67%
13,77,TQQQ,12.52%,11.19%
8,84,TQQQ,12.50%,6.68%
8,82,TQQQ,12.42%,13.04%
9,79,TQQQ,12.37%,13.04%
12,78,TQQQ,12.35%,11.19%
7,86,TQQQ,11.93%,6.68%
7,87,TQQQ,11.93%,4.51%
10,82,TQQQ,11.91%,4.51%
6,89,TQQQ,11.81%,4.51%
8,85,TQQQ,11.78%,6.68%
6,80,TQQQ,11.78%,19.52%
6,88,TQQQ,11.76%,6.68%
9,83,TQQQ,11.73%,6.68%
5,90,TQQQ,11.69%,6.66%
8,79,TQQQ,11.62%,17.84%
5,89,TQQQ,11.62%,9.89%
7,80,TQQQ,11.54%,17.84%
6,87,TQQQ,11.51%,9.91%
9,78,TQQQ,11.43%,16.19%
5,79,TQQQ,11.39%,42.59%
5,81,TQQQ,11.34%,33.82%
8,81,TQQQ,11.30%,13.04%
7,81,TQQQ,11.29%,17.84%
8,80,TQQQ,11.25%,16.34%
12,76,TQQQ,11.24%,23.09%
4,93,TQQQ,11.11%,6.83%
5,84,TQQQ,11.08%,21.80%
4,87,TQQQ,10.92%,30.23%
5,91,TQQQ,10.92%,4.51%
5,83,TQQQ,10.81%,28.25%
8,78,TQQQ,10.80%,19.97%
9,77,TQQQ,10.75%,23.05%
7,83,TQQQ,10.71%,13.02%
7,84,TQQQ,10.68%,13.04%
10,77,TQQQ,10.65%,17.85%
7,82,TQQQ,10.64%,16.34%
3,95,TQQQ,10.55%,16.13%
6,79,TQQQ,10.40%,25.74%
6,81,TQQQ,10.31%,18.64%
14,74,TQQQ,10.27%,29.82%
13,78,TQQQ,10.22%,11.19%
14,75,TQQQ,10.20%,24.32%
6,78,TQQQ,10.17%,38.08%
7,79,TQQQ,10.15%,19.32%
13,75,TQQQ,10.13%,30.89%
14,77,TQQQ,10.05%,11.19%
4,91,TQQQ,10.05%,14.58%
15,76,TQQQ,10.03%,11.19%
6,85,TQQQ,10.03%,14.02%
11,76,TQQQ,10.00%,24.32%
5,80,TQQQ,10.00%,41.38%
7,78,TQQQ,9.98%,21.81%
4,86,TQQQ,9.97%,31.46%
13,74,TQQQ,9.97%,32.02%
6,86,TQQQ,9.95%,16.13%
8,77,TQQQ,9.89%,23.13%
5,88,TQQQ,9.86%,17.60%
11,81,TQQQ,9.80%,4.51%
12,75,TQQQ,9.76%,30.89%
11,75,TQQQ,9.64%,28.82%
13,73,TQQQ,9.57%,31.02%
14,78,TQQQ,9.53%,5.12%
15,74,TQQQ,9.52%,31.11%
6,83,TQQQ,9.52%,22.85%
4,90,TQQQ,9.51%,16.26%
4,92,TQQQ,9.46%,12.11%
10,76,TQQQ,9.42%,27.32%
3,93,TQQQ,9.41%,25.91%
6,84,TQQQ,9.39%,16.11%
13,79,TQQQ,9.37%,4.51%
3,94,TQQQ,9.32%,16.03%
6,82,TQQQ,9.28%,22.92%
12,80,TQQQ,9.22%,4.51%
4,84,TQQQ,9.22%,47.13%
15,77,TQQQ,9.20%,11.19%
5,86,TQQQ,9.11%,18.38%
9,84,TQQQ,9.07%,4.51%
14,73,TQQQ,9.06%,31.25%
4,89,TQQQ,9.05%,23.16%
5,82,TQQQ,9.02%,29.34%
10,75,TQQQ,8.99%,30.74%
9,76,TQQQ,8.97%,33.75%
4,88,TQQQ,8.95%,30.95%
11,82,TQQQ,8.93%,4.51%
4,83,TQQQ,8.90%,47.95%
15,73,TQQQ,8.80%,31.25%
7,88,TQQQ,8.78%,4.51%
5,92,TQQQ,8.74%,4.51%
8,86,TQQQ,8.73%,4.51%
14,72,TQQQ,8.71%,29.87%
12,81,TQQQ,8.70%,4.51%
4,94,TQQQ,8.67%,4.51%
12,74,TQQQ,8.64%,32.02%
3,92,TQQQ,8.56%,34.07%
3,90,TQQQ,8.49%,44.56%
10,83,TQQQ,8.42%,4.51%
5,85,TQQQ,8.40%,21.51%
15,72,TQQQ,8.40%,32.24%
15,66,TQQQ,8.35%,56.41%
11,74,TQQQ,8.33%,32.77%
9,85,TQQQ,8.29%,4.51%
6,90,TQQQ,8.25%,4.51%
12,73,TQQQ,8.23%,31.02%
